true,predicted,count,share_of_true,pre_registered
cancel_order,change_order,6,0.2,True
get_invoice,check_invoice,5,0.091,True
change_order,place_order,3,0.038,False
contact_customer_service,contact_human_agent,3,0.043,True
cancel_order,place_order,2,0.067,False
switch_account,delete_account,2,0.034,False
track_order,change_order,2,0.051,False
cancel_order,delete_account,1,0.033,False
delete_account,switch_account,1,0.013,False
delete_account,create_account,1,0.013,False
contact_human_agent,place_order,1,0.011,False
newsletter_subscription,delete_account,1,0.02,False
edit_account,create_account,1,0.01,False
payment_issue,check_payment_methods,1,0.011,False
payment_issue,registration_problems,1,0.011,False
get_refund,track_refund,0,0.0,True
get_refund,check_refund_policy,0,0.0,True
track_refund,check_refund_policy,0,0.0,True
cancel_order,check_cancellation_fee,0,0.0,True
change_order,check_cancellation_fee,0,0.0,True
change_shipping_address,set_up_shipping_address,0,0.0,True
complaint,payment_issue,0,0.0,True
