intent,precision,recall,f1,support
cancel_order,1.0,0.7,0.8235,30
change_order,0.8929,0.9615,0.9259,78
get_invoice,1.0,0.9091,0.9524,55
delete_account,0.9512,0.975,0.963,80
place_order,0.9528,0.9837,0.968,123
check_invoice,0.9432,1.0,0.9708,83
track_order,1.0,0.9487,0.9737,39
switch_account,0.9828,0.9661,0.9744,59
contact_customer_service,1.0,0.9565,0.9778,69
contact_human_agent,0.9674,0.9889,0.978,90
create_account,0.9756,1.0,0.9877,80
payment_issue,1.0,0.9789,0.9894,95
newsletter_subscription,1.0,0.98,0.9899,50
track_refund,1.0,0.9815,0.9907,54
check_payment_methods,0.9867,1.0,0.9933,74
set_up_shipping_address,1.0,0.9875,0.9937,80
complaint,0.9878,1.0,0.9939,81
get_refund,0.9896,1.0,0.9948,95
registration_problems,0.9899,1.0,0.9949,98
edit_account,1.0,0.99,0.995,100
change_shipping_address,0.9903,1.0,0.9951,102
delivery_period,1.0,1.0,1.0,79
check_cancellation_fee,1.0,1.0,1.0,77
check_refund_policy,1.0,1.0,1.0,55
delivery_options,1.0,1.0,1.0,64
recover_password,1.0,1.0,1.0,119
review,1.0,1.0,1.0,111
