threshold,coverage,n_answered,n_deferred,accuracy_covered,accuracy_abstained,errors_covered
0.0,1.0,2120,0,0.9995283018867924,,1
0.5,1.0,2120,0,0.9995283018867924,,1
0.7,0.9990566037735849,2118,2,0.9995278564683664,1.0,1
0.8,0.9981132075471698,2116,4,0.9995274102079396,1.0,1
0.9,0.9962264150943396,2112,8,1.0,0.875,0
0.95,0.9943396226415094,2108,12,1.0,0.9166666666666666,0
0.99,0.9858490566037735,2090,30,1.0,0.9666666666666667,0
0.995,0.9806603773584905,2079,41,1.0,0.975609756097561,0
0.999,0.9589622641509434,2033,87,1.0,0.9885057471264368,0
0.9999,0.8273584905660377,1754,366,1.0,0.9972677595628415,0
