intent,retention_pct
cancel_order,20.1
track_order,26.0
newsletter_subscription,33.3
track_refund,35.7
get_invoice,36.7
check_refund_policy,36.7
switch_account,39.5
delivery_options,42.8
contact_customer_service,45.9
check_payment_methods,49.3
change_order,52.0
delivery_period,52.7
set_up_shipping_address,53.4
create_account,53.5
delete_account,53.5
check_cancellation_fee,53.9
complaint,54.5
check_invoice,55.2
contact_human_agent,60.2
get_refund,63.7
payment_issue,63.8
registration_problems,65.6
edit_account,67.0
change_shipping_address,69.7
review,74.4
recover_password,79.7
place_order,81.9
