run,epoch,train_loss,val_accuracy,val_f1_macro,val_f1_weighted,learning_rate_end,elapsed_seconds
run_00_debug_0p6b,1,3.761,0.0981,0.0753,0.0795,0.0,7.5
run_03_lora_r4,1,0.7856,0.9967,0.9966,0.9967,0.00014190585533869115,73.5
run_03_lora_r4,2,0.0041,0.9986,0.9982,0.9986,7.095292766934558e-05,147.5
run_03_lora_r4,3,0.0005,0.9991,0.9988,0.9991,0.0,221.4
run_04_lora_r8,1,0.7365,0.9986,0.9986,0.9986,0.00014190585533869115,73.4
run_04_lora_r8,2,0.0047,0.9991,0.9985,0.9991,7.095292766934558e-05,147.3
run_04_lora_r8,3,0.001,0.9995,0.9993,0.9995,0.0,220.4
run_05_lora_r16,1,0.6692,0.9972,0.9963,0.9972,0.00014190585533869115,73.6
run_05_lora_r16,2,0.0058,0.9981,0.998,0.9981,7.095292766934558e-05,147.6
run_05_lora_r16,3,0.0005,0.9986,0.9984,0.9986,0.0,221.6
