intent,precision,recall,f1,support
get_invoice,1.0,0.9818,0.9908,55
switch_account,0.9833,1.0,0.9916,59
change_order,0.9873,1.0,0.9936,78
delete_account,1.0,0.9875,0.9937,80
create_account,1.0,0.9875,0.9937,80
check_invoice,0.9881,1.0,0.994,83
change_shipping_address,1.0,1.0,1.0,102
check_cancellation_fee,1.0,1.0,1.0,77
complaint,1.0,1.0,1.0,81
check_refund_policy,1.0,1.0,1.0,55
check_payment_methods,1.0,1.0,1.0,74
contact_human_agent,1.0,1.0,1.0,90
contact_customer_service,1.0,1.0,1.0,69
delivery_options,1.0,1.0,1.0,64
delivery_period,1.0,1.0,1.0,79
cancel_order,1.0,1.0,1.0,30
edit_account,1.0,1.0,1.0,100
get_refund,1.0,1.0,1.0,95
payment_issue,1.0,1.0,1.0,95
newsletter_subscription,1.0,1.0,1.0,50
recover_password,1.0,1.0,1.0,119
registration_problems,1.0,1.0,1.0,98
review,1.0,1.0,1.0,111
place_order,1.0,1.0,1.0,123
set_up_shipping_address,1.0,1.0,1.0,80
track_order,1.0,1.0,1.0,39
track_refund,1.0,1.0,1.0,54
